Year,Institution,Campus,Institution Size,Category,Location,Subcategory,Number
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Robbery,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Robbery,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Robbery,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Aggravated assault,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Aggravated assault,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Aggravated assault,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Aggravated assault,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Aggravated assault,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Aggravated assault,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Aggravated assault,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Aggravated assault,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Aggravated assault,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Aggravated assault,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Aggravated assault,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Aggravated assault,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Aggravated assault,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Aggravated assault,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Aggravated assault,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Aggravated assault,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Aggravated assault,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Burglary,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Burglary,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Burglary,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Burglary,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Burglary,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Burglary,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Burglary,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Burglary,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Burglary,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Burglary,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Burglary,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Burglary,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Burglary,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Burglary,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Burglary,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Burglary,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Burglary,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Motor vehicle theft,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Arson,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Arson,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Arson,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Arson,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Arson,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Arson,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Arson,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Arson,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Arson,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Arson,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Arson,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Arson,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Arson,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Arson,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Arson,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Arson,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Arson,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Simple assault,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Simple assault,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Simple assault,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Simple assault,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Simple assault,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Simple assault,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Simple assault,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Simple assault,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Simple assault,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Simple assault,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Simple assault,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Simple assault,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Simple assault,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Simple assault,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Simple assault,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Simple assault,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Simple assault,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Larceny-theft,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Larceny-theft,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Larceny-theft,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Larceny-theft,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Larceny-theft,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Larceny-theft,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Larceny-theft,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Larceny-theft,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Larceny-theft,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Larceny-theft,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Larceny-theft,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Larceny-theft,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Larceny-theft,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Larceny-theft,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Larceny-theft,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Larceny-theft,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Larceny-theft,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Intimidation,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Intimidation,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Intimidation,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Intimidation,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Intimidation,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Intimidation,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Intimidation,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Intimidation,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Intimidation,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Intimidation,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Intimidation,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Intimidation,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Intimidation,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Intimidation,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Intimidation,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Intimidation,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Intimidation,0
2001,Yale University,Main Campus,11136,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2002,Yale University,Main Campus,11378,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2003,Yale University,Main Campus,11471,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2004,Yale University,Main Campus,11441,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2005,Yale University,Main Campus,11483,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2006,Yale University,Main Campus,11415,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2007,Yale University,Main Campus,11454,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2008,Yale University,Main Campus,10192,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2009,Yale University,Main Campus,11593,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2010,Yale University,Main Campus,11701,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2011,Yale University,Main Campus,11875,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2012,Yale University,Main Campus,11906,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2013,Yale University,Main Campus,12109,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2014,Yale University,Main Campus,12336,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2015,Yale University,Main Campus,12385,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2016,Yale University,Main Campus,12458,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2017,Yale University,Main Campus,12974,Hate crimes,On campus student housing facilities,Destruction/damage/ vandalism of property,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Murder/Non-negligent manslaughter,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Negligent manslaughter,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Negligent manslaughter,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Negligent manslaughter,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Negligent manslaughter,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Negligent manslaughter,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Negligent manslaughter,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Negligent manslaughter,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Negligent manslaughter,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Negligent manslaughter,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Negligent manslaughter,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Negligent manslaughter,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Negligent manslaughter,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Negligent manslaughter,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Negligent manslaughter,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Negligent manslaughter,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Negligent manslaughter,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Negligent manslaughter,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Sex offenses - Forcible,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Sex offenses - Forcible,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Sex offenses - Forcible,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Sex offenses - Forcible,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Sex offenses - Forcible,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Sex offenses - Forcible,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Sex offenses - Forcible,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Sex offenses - Forcible,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Sex offenses - Forcible,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Sex offenses - Forcible,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Sex offenses - Forcible,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Sex offenses - Forcible,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Sex offenses - Forcible,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Sex offenses - Forcible,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Sex offenses - Forcible,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Sex offenses - Forcible,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Sex offenses - Forcible,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Sex offenses - Non-forcible,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Sex offenses - Non-forcible,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Sex offenses - Non-forcible,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Sex offenses - Non-forcible,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Sex offenses - Non-forcible,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Sex offenses - Non-forcible,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Sex offenses - Non-forcible,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Sex offenses - Non-forcible,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Sex offenses - Non-forcible,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Sex offenses - Non-forcible,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Sex offenses - Non-forcible,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Sex offenses - Non-forcible,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Sex offenses - Non-forcible,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Sex offenses - Non-forcible,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Sex offenses - Non-forcible,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Sex offenses - Non-forcible,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Sex offenses - Non-forcible,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Rape,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Rape,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Rape,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Rape,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Rape,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Rape,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Rape,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Rape,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Rape,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Rape,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Rape,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Rape,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Rape,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Rape,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Rape,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Rape,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Rape,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Fondling,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Fondling,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Fondling,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Fondling,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Fondling,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Fondling,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Fondling,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Fondling,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Fondling,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Fondling,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Fondling,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Fondling,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Fondling,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Fondling,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Fondling,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Fondling,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Fondling,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Incest,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Incest,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Incest,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Incest,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Incest,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Incest,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Incest,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Incest,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Incest,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Incest,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Incest,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Incest,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Incest,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Incest,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Incest,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Incest,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Incest,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Statutory rape,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Statutory rape,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Statutory rape,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Statutory rape,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Statutory rape,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Statutory rape,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Statutory rape,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Statutory rape,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Statutory rape,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Statutory rape,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Statutory rape,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Statutory rape,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Statutory rape,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Statutory rape,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Statutory rape,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Statutory rape,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Statutory rape,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Robbery,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Robbery,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Robbery,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Robbery,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Robbery,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Robbery,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Robbery,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Robbery,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Robbery,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Robbery,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Robbery,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Robbery,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Robbery,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Robbery,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Robbery,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Robbery,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Robbery,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Aggravated assault,1
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Aggravated assault,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Aggravated assault,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Aggravated assault,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Aggravated assault,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Aggravated assault,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Aggravated assault,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Aggravated assault,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Aggravated assault,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Aggravated assault,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Aggravated assault,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Aggravated assault,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Aggravated assault,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Aggravated assault,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Aggravated assault,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Aggravated assault,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Aggravated assault,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Burglary,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Burglary,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Burglary,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Burglary,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Burglary,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Burglary,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Burglary,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Burglary,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Burglary,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Burglary,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Burglary,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Burglary,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Burglary,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Burglary,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Burglary,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Burglary,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Burglary,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Motor vehicle theft,0
2002,Yale University,Main Campus,11378,Hate crimes,Public property,Motor vehicle theft,0
2003,Yale University,Main Campus,11471,Hate crimes,Public property,Motor vehicle theft,0
2004,Yale University,Main Campus,11441,Hate crimes,Public property,Motor vehicle theft,0
2005,Yale University,Main Campus,11483,Hate crimes,Public property,Motor vehicle theft,0
2006,Yale University,Main Campus,11415,Hate crimes,Public property,Motor vehicle theft,0
2007,Yale University,Main Campus,11454,Hate crimes,Public property,Motor vehicle theft,0
2008,Yale University,Main Campus,10192,Hate crimes,Public property,Motor vehicle theft,0
2009,Yale University,Main Campus,11593,Hate crimes,Public property,Motor vehicle theft,0
2010,Yale University,Main Campus,11701,Hate crimes,Public property,Motor vehicle theft,0
2011,Yale University,Main Campus,11875,Hate crimes,Public property,Motor vehicle theft,0
2012,Yale University,Main Campus,11906,Hate crimes,Public property,Motor vehicle theft,0
2013,Yale University,Main Campus,12109,Hate crimes,Public property,Motor vehicle theft,0
2014,Yale University,Main Campus,12336,Hate crimes,Public property,Motor vehicle theft,0
2015,Yale University,Main Campus,12385,Hate crimes,Public property,Motor vehicle theft,0
2016,Yale University,Main Campus,12458,Hate crimes,Public property,Motor vehicle theft,0
2017,Yale University,Main Campus,12974,Hate crimes,Public property,Motor vehicle theft,0
2001,Yale University,Main Campus,11136,Hate crimes,Public property,Arson,0
